filename,role,wave,source_type,bytes,sha256
codebook1(Wave 1-27).xls,codebook,,,4695040,bdb50d176cc6519a22a6da3a96e5bf818ca38a1689f2d8956de83afa12cc6434
codebook2_supplemental survey(Wave 1-27).xls,codebook,,,1995264,5422a1d3c4b47113b8f2fe6e9b8b9be7b2a296fba717e9951a0aac0a31a4e809
eklips01h.xlsx,wave_data,1,h,1509440,6d9ed52faa02fb0c730cea089cbf1a3eff52e71873084e187858b75c7ed8fdf4
eklips01p.xlsx,wave_data,1,p,4447411,3281fc7cc471384b15a764d61c03ef8714886ac0e17f1c2f75761991e518a350
eklips02h.xlsx,wave_data,2,h,1932778,029bf363ebc2d3d17042cf91c11611188dffb6f506cce28a5d2fe15dcc9fb4f0
eklips02p.xlsx,wave_data,2,p,3409682,60f5282772d2595a8435a280281d63cd30c541e0b22de17615ea2eec784ecd95
eklips03a.xlsx,wave_data,3,a,441809,7bdaa1a616ab8c41ef510deb54cb6eb35e80fdae7d1a62fab427e99b86eeeed1
eklips03h.xlsx,wave_data,3,h,1854581,2cf7d13769482e92df2fce8e78af60983ed3c2dbc5828ee24552d83cf1fb0fda
eklips03p.xlsx,wave_data,3,p,3720466,fc992013c5b833eb57092b95dbf0cbfa12063890789e475c879f8a17b60cdfc2
eklips04a.xlsx,wave_data,4,a,1646223,70db69b7d697ecb8ae19d6a975481f27b0e151f8e0d5b22910dd6c0db1cffdb8
eklips04h.xlsx,wave_data,4,h,2529330,1a5cbd11e89597f212bfb3ebee6490abf8a70ba172a293f0dc9c7fe03775c48a
eklips04p.xlsx,wave_data,4,p,4285932,80278daf8eb263c0785b9b0b918bddb1d84666e891b9a34057e91fa6bad2cefa
eklips05h.xlsx,wave_data,5,h,2479999,c2f9ecd45ca209de1311bb81b6a2fdeb902170757d824674026777036ef433a0
eklips05p.xlsx,wave_data,5,p,4282239,2374a013b9a8d1bdb3dc0b5c4959eb63188fda0651d7b8ac247bffc1adf45084
eklips06a.xlsx,wave_data,6,a,572017,36aca6c716afc32ed050b24f91f7e0ec47688396871edf2853c847a3257adbe2
eklips06h.xlsx,wave_data,6,h,2591943,482c57da6f70685b5b3b39f21eeba3302db07a05fe5e6b789060be08077e39a8
eklips06p.xlsx,wave_data,6,p,5512928,173e97242fb4aa7f80e0da643b73aca48f3512fec30975fe55ede2456f7db18c
eklips07a.xlsx,wave_data,7,a,3056455,e01006243178d2ddd17511e316f4d9bf6df1ba85388a2f1f3328f31df5e6fd4e
eklips07h.xlsx,wave_data,7,h,2862441,d3a5655cda50b6785c6ed61d915e5ff7902960d87dbbf90a7d0ccbd70bc66886
eklips07p.xlsx,wave_data,7,p,5830308,a9fc82ed3ce11ba0bb589b7809aaeb80610cccb97a5c827a1974285a60c1a66e
