model,calibration_method,threshold_rule,selected_threshold,valid_f1,valid_precision,valid_recall,valid_positive_prediction_rate,test_f1,test_precision,test_recall,test_positive_prediction_rate
logistic,raw,default_0.5,0.5,0.27679811905525276,0.19170984455958548,0.49769408147578786,0.26019798929162974,0.24580879021295876,0.16866158868335146,0.453027139874739,0.23770461515722574
logistic,raw,best_f1_valid,0.4973985022327446,0.2786573780873971,0.1920838183934808,0.5073020753266718,0.2647047494318401,0.24594382902540002,0.16799143992662793,0.45887265135699373,0.2417322543694343
logistic,raw,top10_valid_cutoff,0.6462683869248358,0.2315829967301404,0.23180592991913745,0.23136049192928518,0.10003466738569393,0.21565792191695932,0.2134096484055601,0.21795407098121086,0.0903817019546983
logistic,raw,top20_valid_cutoff,0.5467400663793758,0.27119948685054523,0.20354323127286733,0.4062259800153728,0.20003081545395016,0.24442925495557075,0.18170731707317073,0.3732776617954071,0.1817980268262942
logistic,platt,default_0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logistic,platt,best_f1_valid,0.12724654033536698,0.2786573780873971,0.1920838183934808,0.5073020753266718,0.2647047494318401,0.24594382902540002,0.16799143992662793,0.45887265135699373,0.2417322543694343
logistic,platt,top10_valid_cutoff,0.1965084474891511,0.2315829967301404,0.23180592991913745,0.23136049192928518,0.10003466738569393,0.21565792191695932,0.2134096484055601,0.21795407098121086,0.0903817019546983
logistic,platt,top20_valid_cutoff,0.1475328575949348,0.27119948685054523,0.20354323127286733,0.4062259800153728,0.20003081545395016,0.24442925495557075,0.18170731707317073,0.3732776617954071,0.1817980268262942
logistic,isotonic,default_0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logistic,isotonic,best_f1_valid,0.14360313315926893,0.2786573780873971,0.1920838183934808,0.5073020753266718,0.2647047494318401,0.24594382902540002,0.16799143992662793,0.45887265135699373,0.2417322543694343
logistic,isotonic,top10_valid_cutoff,0.1842560553633218,0.2525574375314439,0.2240404641475751,0.28939277478862413,0.1294634259080929,0.22832525578890683,0.20025188916876574,0.26555323590814195,0.11735579943095739
logistic,isotonic,top20_valid_cutoff,0.15722120658135283,0.274820500123793,0.20270270270270271,0.4265949269792467,0.21093178228881784,0.24272739239173358,0.1772395232602845,0.38496868475991647,0.19221815763219155
random_forest,raw,default_0.5,0.5,0.21481659074562456,0.2855321861057999,0.17217524980784013,0.06043680905974346,0.17849223946784923,0.2654575432811212,0.13444676409185805,0.04482134279274286
random_forest,raw,best_f1_valid,0.3360968994601989,0.28494247123561783,0.19261463546598134,0.547271329746349,0.28477331381687915,0.2709419727060912,0.18449682683590207,0.509812108559499,0.24454051657244208
random_forest,raw,top10_valid_cutoff,0.4486730738288725,0.25466435853048663,0.254909510974201,0.2544196771714066,0.10003466738569393,0.22973271482217805,0.24390243902439024,0.21711899791231734,0.07877914495806082
random_forest,raw,top20_valid_cutoff,0.3764848018658501,0.2814624759461193,0.21124590795301368,0.4215987701767871,0.20003081545395016,0.26949941792782306,0.20683493410766138,0.38663883089770357,0.1654288142482356
random_forest,platt,default_0.5,0.5,0.012801204819277108,0.3148148148148148,0.0065334358186010764,0.0020800431416355303,0.012330456226880395,0.39473684210526316,0.006263048016701462,0.0014041311015038983
random_forest,platt,best_f1_valid,0.11506637640987087,0.28494247123561783,0.19261463546598134,0.547271329746349,0.28477331381687915,0.2709419727060912,0.18449682683590207,0.509812108559499,0.24454051657244208
random_forest,platt,top10_valid_cutoff,0.1898536974601922,0.25466435853048663,0.254909510974201,0.2544196771714066,0.10003466738569393,0.22973271482217805,0.24390243902439024,0.21711899791231734,0.07877914495806082
random_forest,platt,top20_valid_cutoff,0.13839580621988432,0.2814624759461193,0.21124590795301368,0.4215987701767871,0.20003081545395016,0.26949941792782306,0.20683493410766138,0.38663883089770357,0.1654288142482356
random_forest,isotonic,default_0.5,0.5,0.003834355828220859,0.8333333333333334,0.001921598770176787,0.00023111590462617003,0.0016666666666666668,0.4,0.0008350730688935282,0.0001847540923031445
random_forest,isotonic,best_f1_valid,0.14437367303609341,0.28494247123561783,0.19261463546598134,0.547271329746349,0.28477331381687915,0.2709419727060912,0.18449682683590207,0.509812108559499,0.24454051657244208
random_forest,isotonic,top10_valid_cutoff,0.19148936170212766,0.2612579084480834,0.2532467532467532,0.2697924673328209,0.10677554793729055,0.23281549265801235,0.23741319444444445,0.22839248434237996,0.08513468573328899
random_forest,isotonic,top20_valid_cutoff,0.15209359605911327,0.2838967194711239,0.21015697137580794,0.43735588009223675,0.20858210392511844,0.2719298245614035,0.20564947571153436,0.4012526096033403,0.17267117466651885
xgboost,raw,default_0.5,0.5,0.01794392523364486,0.3287671232876712,0.009223674096848577,0.0028119101729517353,0.01869918699186992,0.35384615384615387,0.009603340292275574,0.0024018031999408786
xgboost,raw,best_f1_valid,0.13728513,0.28964769647696476,0.20172127434697268,0.5134511913912375,0.25511343938985404,0.2708419742845292,0.18016278107325148,0.5453027139874739,0.26785648302109893
xgboost,raw,top10_valid_cutoff,0.2099968,0.25466435853048663,0.254909510974201,0.2544196771714066,0.10003466738569393,0.2389937106918239,0.22577051615298924,0.2538622129436326,0.09950855411447364
xgboost,raw,top20_valid_cutoff,0.15610461,0.281975625400898,0.211631041787021,0.4223674096848578,0.20003081545395016,0.2677657050081179,0.1910192444761226,0.4475991649269311,0.2073679932010494
xgboost,platt,default_0.5,0.5,0.038615664845173044,0.3706293706293706,0.020368946963873945,0.005508262393590386,0.03418124006359301,0.35537190082644626,0.017954070981210855,0.004471049033736098
xgboost,platt,best_f1_valid,0.11038050112239199,0.28964769647696476,0.20172127434697268,0.5134511913912375,0.25511343938985404,0.2708419742845292,0.18016278107325148,0.5453027139874739,0.26785648302109893
xgboost,platt,top10_valid_cutoff,0.16831304634395872,0.25466435853048663,0.254909510974201,0.2544196771714066,0.10003466738569393,0.2389937106918239,0.22577051615298924,0.2538622129436326,0.09950855411447364
xgboost,platt,top20_valid_cutoff,0.12344148515795138,0.281975625400898,0.211631041787021,0.4223674096848578,0.20003081545395016,0.2677657050081179,0.1910192444761226,0.4475991649269311,0.2073679932010494
xgboost,isotonic,default_0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xgboost,isotonic,best_f1_valid,0.15120274914089346,0.28964769647696476,0.20172127434697268,0.5134511913912375,0.25511343938985404,0.2708419742845292,0.18016278107325148,0.5453027139874739,0.26785648302109893
xgboost,isotonic,top10_valid_cutoff,0.1777509068923821,0.2679425837320574,0.24123076923076922,0.3013066871637202,0.12518778167250877,0.25,0.2137563000296472,0.3010438413361169,0.12463511066770129
xgboost,isotonic,top20_valid_cutoff,0.16799999999999998,0.2883141762452107,0.20939130434782607,0.46272098385857036,0.22148607526674627,0.27008229975657816,0.18693838254172016,0.48643006263048016,0.23027750064663932
catboost,raw,default_0.5,0.5,0.018811136192626036,0.44642857142857145,0.009607993850883935,0.00215708177651092,0.015605749486652977,0.475,0.007933194154488519,0.001478032738425156
catboost,raw,best_f1_valid,0.1357591026446794,0.28670543822058975,0.19516599527712183,0.5399692544196771,0.2773005662339663,0.27258738184216313,0.18499179471878263,0.5177453027139874,0.24768133614159554
catboost,raw,top10_valid_cutoff,0.2139858064607911,0.2608193883439123,0.26107046592221794,0.2605687932359723,0.10003466738569393,0.2412550349798601,0.2450473729543497,0.23757828810020876,0.0857998004655803
catboost,raw,top20_valid_cutoff,0.1604511067830052,0.2809493264913406,0.21086077411900636,0.4208301306687164,0.20003081545395016,0.268467707893626,0.20246179966044142,0.3983298538622129,0.17411225658648338
catboost,platt,default_0.5,0.5,0.03871439006574142,0.3897058823529412,0.020368946963873945,0.0052386271715265205,0.03437250199840128,0.40186915887850466,0.017954070981210855,0.003953737575287292
catboost,platt,best_f1_valid,0.10501491497004899,0.28670543822058975,0.19516599527712183,0.5399692544196771,0.2773005662339663,0.27258738184216313,0.18499179471878263,0.5177453027139874,0.24768133614159554
catboost,platt,top10_valid_cutoff,0.16955603554921117,0.2608193883439123,0.26107046592221794,0.2605687932359723,0.10003466738569393,0.2412550349798601,0.2450473729543497,0.23757828810020876,0.0857998004655803
catboost,platt,top20_valid_cutoff,0.12261901577645072,0.2809493264913406,0.21086077411900636,0.4208301306687164,0.20003081545395016,0.268467707893626,0.20246179966044142,0.3983298538622129,0.17411225658648338
catboost,isotonic,default_0.5,0.5,0.0038328861632809506,0.7142857142857143,0.001921598770176787,0.000269635222063865,0.0,0.0,0.0,3.6950818460628905e-05
catboost,isotonic,best_f1_valid,0.14925373134328362,0.28670543822058975,0.19516599527712183,0.5399692544196771,0.2773005662339663,0.27258738184216313,0.18499179471878263,0.5177453027139874,0.24768133614159554
catboost,isotonic,top10_valid_cutoff,0.19488188976377951,0.2728249194414608,0.25536193029490617,0.29285165257494233,0.11494164323408189,0.24688427299703264,0.23458646616541354,0.2605427974947808,0.09828917710527288
catboost,isotonic,top20_valid_cutoff,0.14925373134328362,0.28670543822058975,0.19516599527712183,0.5399692544196771,0.2773005662339663,0.27258738184216313,0.18499179471878263,0.5177453027139874,0.24768133614159554
hybrid_stack,raw,default_0.5,0.5,0.28964904486894716,0.2036863480162449,0.5011529592621061,0.24660067023612342,0.2736391299447763,0.1874035196048163,0.5068893528183716,0.23936740198795403
hybrid_stack,raw,best_f1_valid,0.5138572023071446,0.2923221413477342,0.21044624746450305,0.47847809377402,0.22788028196140364,0.27392660110338213,0.19215884233552077,0.4768267223382046,0.21959871411151757
hybrid_stack,raw,top10_valid_cutoff,0.6505778966339544,0.2631275245239469,0.2633808240277243,0.26287471176018445,0.10003466738569393,0.24964880594019667,0.2403400309119011,0.25970772442588724,0.0956287181761076
hybrid_stack,raw,top20_valid_cutoff,0.5367616753581429,0.28608082103912763,0.21471211245907953,0.4285165257494235,0.20003081545395016,0.27357621991319214,0.19969278033794163,0.4342379958246347,0.19243986254295534
hybrid_stack,platt,default_0.5,0.5,0.0,0.0,0.0,7.703863487539e-05,0.0,0.0,0.0,3.6950818460628905e-05
hybrid_stack,platt,best_f1_valid,0.1258211286888805,0.2923221413477342,0.21044624746450305,0.47847809377402,0.22788028196140364,0.27392660110338213,0.19215884233552077,0.4768267223382046,0.21959871411151757
hybrid_stack,platt,top10_valid_cutoff,0.2018459729420367,0.2631275245239469,0.2633808240277243,0.26287471176018445,0.10003466738569393,0.24964880594019667,0.2403400309119011,0.25970772442588724,0.0956287181761076
hybrid_stack,platt,top20_valid_cutoff,0.136578821908993,0.28608082103912763,0.21471211245907953,0.4285165257494235,0.20003081545395016,0.27357621991319214,0.19969278033794163,0.4342379958246347,0.19243986254295534
hybrid_stack,isotonic,default_0.5,0.5,0.009156810377718427,0.631578947368421,0.004611837048424289,0.000731867031316205,0.006625258799171843,0.4,0.003340292275574113,0.000739016369212578
hybrid_stack,isotonic,best_f1_valid,0.1587174348697395,0.2923221413477342,0.21044624746450305,0.47847809377402,0.22788028196140364,0.27392660110338213,0.19215884233552077,0.4768267223382046,0.21959871411151757
hybrid_stack,isotonic,top10_valid_cutoff,0.19757085020242915,0.27764127764127766,0.2554909560723514,0.3039969254419677,0.11925580678710374,0.25943396226415094,0.22938723131215913,0.2985386221294363,0.11517570114178029
hybrid_stack,isotonic,top20_valid_cutoff,0.1587174348697395,0.2923221413477342,0.21044624746450305,0.47847809377402,0.22788028196140364,0.27392660110338213,0.19215884233552077,0.4768267223382046,0.21959871411151757
