model,metric,bootstrap_mean,ci_2.5,ci_97.5
logistic,roc_auc,0.6999541022242992,0.6888429534906815,0.7098782273408639
logistic,pr_auc,0.17022443001584345,0.15975445355422094,0.18029019746012542
logistic,brier,0.16705665574691503,0.1649918088001109,0.16895405939351807
random_forest,roc_auc,0.7317068313114786,0.7221444759125404,0.7416033340794672
random_forest,pr_auc,0.19466870241346965,0.18251140104611735,0.20546518928847224
random_forest,brier,0.1078944128746781,0.1063283832150665,0.10935135145133706
xgboost,roc_auc,0.7297741479513811,0.719846016897008,0.7395166049633148
xgboost,pr_auc,0.19659167626513277,0.18340050631467095,0.2076994000262851
xgboost,brier,0.07662451411740054,0.0739191841970055,0.07908159065981106
catboost,roc_auc,0.7332515266107691,0.7232342149578574,0.7429193900688223
catboost,pr_auc,0.19977215559363992,0.18757601922991335,0.2120841251203684
catboost,brier,0.07632117419314977,0.0737284043703745,0.07871870844419887
hybrid_stack,roc_auc,0.7342010445655418,0.7245759735380184,0.7431727833345829
hybrid_stack,pr_auc,0.19957494474383058,0.18702471661837344,0.211311726265801
hybrid_stack,brier,0.18111756204537283,0.17939398054621808,0.1828525581136011
