model,group_col,group_value,n,event_rate,roc_auc,pr_auc,f1,brier,recall_at_10,lift_at_10,recall_at_20,lift_at_20
logistic,age_group,15-24,604,0.2251655629139073,0.6045280291603821,0.3140875644385359,0.3804143126177024,0.31689560947031703,0.16176470588235295,1.6017357762777242,0.2867647058823529,1.431453573164803
logistic,age_group,25-54,17242,0.06431968449135832,0.7218464167643434,0.15140201614396315,0.21041809458533242,0.11438768130651038,0.26149684400360684,2.6137557010493846,0.45536519386834984,2.2764298848008373
logistic,age_group,55-64,5141,0.09103287298191014,0.6037831441212567,0.13751432770648045,0.20119521912350596,0.2018705871318605,0.17735042735042736,1.770404945647664,0.3141025641025641,1.569291819291819
logistic,age_group,65+,4076,0.16732090284592738,0.5436292612286301,0.190026042158147,0.2818154850192821,0.32338740022319556,0.12609970674486803,1.2597607958139267,0.2434017595307918,1.215815651773906
logistic,weekly_hours_group,1-19,451,0.19290465631929046,0.5949538966780346,0.2418152291776554,0.345679012345679,0.3290304638572867,0.11494252873563218,1.1269365317341329,0.22988505747126436,1.1393204496652773
logistic,weekly_hours_group,20-29,435,0.16091954022988506,0.5797260273972603,0.19914962735686995,0.2847222222222222,0.26662748091374977,0.11428571428571428,1.12987012987013,0.2857142857142857,1.4285714285714286
logistic,weekly_hours_group,30-34,384,0.109375,0.5618908382066276,0.147503528072498,0.17751479289940827,0.2135491083479323,0.19047619047619047,1.8754578754578755,0.2619047619047619,1.3061224489795917
logistic,weekly_hours_group,35-39,141,0.0851063829787234,0.5587855297157622,0.11289254190071554,0.16666666666666666,0.21684126579743465,0.16666666666666666,1.5666666666666667,0.25,1.2155172413793103
logistic,weekly_hours_group,40+,1529,0.08960104643557881,0.6276952764493666,0.13053277501584354,0.1834319526627219,0.14347634275993623,0.16058394160583941,1.6047898478126041,0.29927007299270075,1.4953723581890177
logistic,weekly_hours_group,nan,24123,0.08485677569124901,0.7084663028010092,0.16989688811476394,0.24392177589852007,0.16263700963401978,0.23888617489008304,2.388168751294436,0.4088910600879336,2.0442858119173515
logistic,firm_size_group,1-person,430,0.1186046511627907,0.6016348491903358,0.1864561953213949,0.24199288256227758,0.26101058024755114,0.13725490196078433,1.3725490196078431,0.2549019607843137,1.2745098039215685
