model,metric,bootstrap_mean,ci_2.5,ci_97.5
logistic,roc_auc,0.7003347606305769,0.6909293628473676,0.7102071191620877
logistic,pr_auc,0.1707707387314435,0.1614158711683907,0.1820245545665061
logistic,brier,0.1669405434807774,0.1641723681786466,0.1699083557100649
random_forest,roc_auc,0.7320909345929081,0.7224639324038842,0.7427620657958957
random_forest,pr_auc,0.1954930347353029,0.184421329243025,0.2076401047340195
random_forest,brier,0.1078487798644366,0.1057951811615207,0.1097475469750831
xgboost,roc_auc,0.7300366611840936,0.7201307261412918,0.7409314111976207
xgboost,pr_auc,0.1969900249400097,0.1854433768091782,0.2108881973266188
xgboost,brier,0.0766484167363424,0.0742146997253472,0.0789529528247549
catboost,roc_auc,0.733842759020711,0.7247358686344143,0.7442198115324281
catboost,pr_auc,0.2008394071911948,0.1883003090693819,0.2135338775294999
catboost,brier,0.0763125654765372,0.0740224226694184,0.0785772267885565
hybrid_stack,roc_auc,0.7347099184956084,0.7259242683751345,0.7446887705594327
hybrid_stack,pr_auc,0.2005467845926537,0.1887616136214414,0.2127743875735437
hybrid_stack,brier,0.1810180149086516,0.1782948984493562,0.1837885750716461
