model,calibration_method,threshold_rule,selected_threshold,valid_f1,valid_precision,valid_recall,valid_positive_prediction_rate,test_f1,test_precision,test_recall,test_positive_prediction_rate
logistic,raw,default_0.5,0.5,0.2767981190552527,0.1917098445595854,0.4976940814757878,0.2601979892916297,0.2458087902129587,0.1686615886833514,0.453027139874739,0.2377046151572257
logistic,raw,best_f1_valid,0.4973985022327446,0.2786573780873971,0.1920838183934808,0.5073020753266718,0.2647047494318401,0.2459438290254,0.1679914399266279,0.4588726513569937,0.2417322543694343
logistic,raw,top10_valid_cutoff,0.6462683869248358,0.2315829967301404,0.2318059299191374,0.2313604919292851,0.1000346673856939,0.2156579219169593,0.2134096484055601,0.2179540709812108,0.0903817019546983
logistic,raw,top20_valid_cutoff,0.5467400663793758,0.2711994868505452,0.2035432312728673,0.4062259800153728,0.2000308154539501,0.2444292549555707,0.1817073170731707,0.3732776617954071,0.1817980268262942
logistic,platt,default_0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logistic,platt,best_f1_valid,0.1272465403353669,0.2786573780873971,0.1920838183934808,0.5073020753266718,0.2647047494318401,0.2459438290254,0.1679914399266279,0.4588726513569937,0.2417322543694343
logistic,platt,top10_valid_cutoff,0.1965084474891511,0.2315829967301404,0.2318059299191374,0.2313604919292851,0.1000346673856939,0.2156579219169593,0.2134096484055601,0.2179540709812108,0.0903817019546983
logistic,platt,top20_valid_cutoff,0.1475328575949348,0.2711994868505452,0.2035432312728673,0.4062259800153728,0.2000308154539501,0.2444292549555707,0.1817073170731707,0.3732776617954071,0.1817980268262942
logistic,isotonic,default_0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logistic,isotonic,best_f1_valid,0.1436031331592689,0.2786573780873971,0.1920838183934808,0.5073020753266718,0.2647047494318401,0.2459438290254,0.1679914399266279,0.4588726513569937,0.2417322543694343
logistic,isotonic,top10_valid_cutoff,0.1842560553633218,0.2525574375314439,0.2240404641475751,0.2893927747886241,0.1294634259080929,0.2283252557889068,0.2002518891687657,0.2655532359081419,0.1173557994309573
