Model,Grouping variable,Group,N,Event rate,ROC-AUC,PR-AUC,F1,Brier score,Recall@10,Lift@10,Recall@20,Lift@20
catboost,age_group,15-24,604,0.2252,0.634,0.3485,0.2081,0.1691,0.2059,2.0386,0.3309,1.6517
catboost,age_group,25-54,17242,0.0643,0.7519,0.1698,0.0018,0.057,0.3012,3.0103,0.4932,2.4658
catboost,age_group,55-64,5141,0.091,0.6699,0.1889,0.0,0.0802,0.235,2.3463,0.3846,1.9216
catboost,age_group,65+,4076,0.1673,0.585,0.2098,0.0,0.1393,0.1496,1.4941,0.2654,1.3257
catboost,firm_size_group,1-person,430,0.1186,0.6608,0.1968,0.0385,0.1035,0.0784,0.7843,0.3529,1.7647
catboost,firm_size_group,2+-person,26633,0.088,0.7348,0.2002,0.0151,0.0758,0.2641,2.6401,0.4497,2.2481
hybrid_stack,age_group,15-24,604,0.2252,0.6328,0.3436,0.3922,0.3637,0.2132,2.1114,0.3456,1.7251
hybrid_stack,age_group,25-54,17242,0.0643,0.7551,0.1725,0.2433,0.1328,0.3039,3.0374,0.5023,2.5108
hybrid_stack,age_group,55-64,5141,0.091,0.6684,0.1884,0.2344,0.2037,0.2308,2.3037,0.3889,1.9429
hybrid_stack,age_group,65+,4076,0.1673,0.5814,0.2078,0.3012,0.3299,0.1437,1.4355,0.2669,1.333
hybrid_stack,firm_size_group,1-person,430,0.1186,0.6574,0.1982,0.269,0.2743,0.0784,0.7843,0.3333,1.6667
hybrid_stack,firm_size_group,2+-person,26633,0.088,0.7357,0.1999,0.2738,0.1796,0.2713,2.7126,0.4497,2.2481
